zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-21T20:45:00+02:00,2026-09-21T18:45:00+00:00,18.9,False,23.9,True,EUR/MWh
SE1,2026-09-21T21:00:00+02:00,2026-09-21T19:00:00+00:00,25.86,False,30.86,True,EUR/MWh
SE1,2026-09-21T21:15:00+02:00,2026-09-21T19:15:00+00:00,28.58,False,33.58,True,EUR/MWh
SE1,2026-09-21T21:30:00+02:00,2026-09-21T19:30:00+00:00,24.17,False,29.17,True,EUR/MWh
SE1,2026-09-21T21:45:00+02:00,2026-09-21T19:45:00+00:00,19.95,False,24.95,True,EUR/MWh
SE1,2026-09-21T22:00:00+02:00,2026-09-21T20:00:00+00:00,25.16,False,30.16,True,EUR/MWh
SE1,2026-09-21T22:15:00+02:00,2026-09-21T20:15:00+00:00,23.68,False,28.68,True,EUR/MWh
SE1,2026-09-21T22:30:00+02:00,2026-09-21T20:30:00+00:00,20.6,False,25.6,True,EUR/MWh
SE1,2026-09-21T22:45:00+02:00,2026-09-21T20:45:00+00:00,18.8,False,23.8,True,EUR/MWh
SE1,2026-09-21T23:00:00+02:00,2026-09-21T21:00:00+00:00,18.9,False,23.9,True,EUR/MWh
SE1,2026-09-21T23:15:00+02:00,2026-09-21T21:15:00+00:00,21.74,False,26.74,True,EUR/MWh
SE1,2026-09-21T23:30:00+02:00,2026-09-21T21:30:00+00:00,18.59,False,23.59,True,EUR/MWh
SE1,2026-09-21T23:45:00+02:00,2026-09-21T21:45:00+00:00,16.44,False,21.44,True,EUR/MWh
SE2,2026-09-21T00:00:00+02:00,2026-09-20T22:00:00+00:00,13.55,False,18.55,True,EUR/MWh
SE2,2026-09-21T00:15:00+02:00,2026-09-20T22:15:00+00:00,13.62,False,18.62,True,EUR/MWh
SE2,2026-09-21T00:30:00+02:00,2026-09-20T22:30:00+00:00,10.51,False,15.51,True,EUR/MWh
SE2,2026-09-21T00:45:00+02:00,2026-09-20T22:45:00+00:00,10.0,False,15.0,True,EUR/MWh
SE2,2026-09-21T01:00:00+02:00,2026-09-20T23:00:00+00:00,10.3,False,15.3,True,EUR/MWh
SE2,2026-09-21T01:15:00+02:00,2026-09-20T23:15:00+00:00,9.99,False,14.99,True,EUR/MWh
SE2,2026-09-21T01:30:00+02:00,2026-09-20T23:30:00+00:00,10.3,False,15.3,True,EUR/MWh
SE2,2026-09-21T01:45:00+02:00,2026-09-20T23:45:00+00:00,9.99,False,14.99,True,EUR/MWh
SE2,2026-09-21T02:00:00+02:00,2026-09-21T00:00:00+00:00,8.54,False,13.54,True,EUR/MWh
SE2,2026-09-21T02:15:00+02:00,2026-09-21T00:15:00+00:00,7.73,False,12.73,True,EUR/MWh
SE2,2026-09-21T02:30:00+02:00,2026-09-21T00:30:00+00:00,9.99,False,14.99,True,EUR/MWh
SE2,2026-09-21T02:45:00+02:00,2026-09-21T00:45:00+00:00,10.0,False,15.0,True,EUR/MWh
SE2,2026-09-21T03:00:00+02:00,2026-09-21T01:00:00+00:00,9.79,False,14.79,True,EUR/MWh
SE2,2026-09-21T03:15:00+02:00,2026-09-21T01:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE2,2026-09-21T03:30:00+02:00,2026-09-21T01:30:00+00:00,10.4,False,15.4,True,EUR/MWh
SE2,2026-09-21T03:45:00+02:00,2026-09-21T01:45:00+00:00,10.82,False,15.82,True,EUR/MWh
SE2,2026-09-21T04:00:00+02:00,2026-09-21T02:00:00+00:00,8.1,False,13.1,True,EUR/MWh
SE2,2026-09-21T04:15:00+02:00,2026-09-21T02:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE2,2026-09-21T04:30:00+02:00,2026-09-21T02:30:00+00:00,16.22,False,21.22,True,EUR/MWh
SE2,2026-09-21T04:45:00+02:00,2026-09-21T02:45:00+00:00,21.51,False,26.51,True,EUR/MWh
SE2,2026-09-21T05:00:00+02:00,2026-09-21T03:00:00+00:00,15.47,False,20.47,True,EUR/MWh
SE2,2026-09-21T05:15:00+02:00,2026-09-21T03:15:00+00:00,24.71,False,29.71,True,EUR/MWh
SE2,2026-09-21T05:30:00+02:00,2026-09-21T03:30:00+00:00,33.23,False,38.23,True,EUR/MWh
SE2,2026-09-21T05:45:00+02:00,2026-09-21T03:45:00+00:00,46.35,False,51.35,True,EUR/MWh
SE2,2026-09-21T06:00:00+02:00,2026-09-21T04:00:00+00:00,32.01,False,37.01,True,EUR/MWh
SE2,2026-09-21T06:15:00+02:00,2026-09-21T04:15:00+00:00,38.41,False,43.41,True,EUR/MWh
SE2,2026-09-21T06:30:00+02:00,2026-09-21T04:30:00+00:00,37.03,False,42.03,True,EUR/MWh
SE2,2026-09-21T06:45:00+02:00,2026-09-21T04:45:00+00:00,36.85,False,41.85,True,EUR/MWh
SE2,2026-09-21T07:00:00+02:00,2026-09-21T05:00:00+00:00,34.11,False,39.11,True,EUR/MWh
SE2,2026-09-21T07:15:00+02:00,2026-09-21T05:15:00+00:00,31.79,False,36.79,True,EUR/MWh
SE2,2026-09-21T07:30:00+02:00,2026-09-21T05:30:00+00:00,32.0,False,37.0,True,EUR/MWh
SE2,2026-09-21T07:45:00+02:00,2026-09-21T05:45:00+00:00,31.99,False,36.99,True,EUR/MWh
SE2,2026-09-21T08:00:00+02:00,2026-09-21T06:00:00+00:00,29.99,False,34.99,True,EUR/MWh
SE2,2026-09-21T08:15:00+02:00,2026-09-21T06:15:00+00:00,30.0,False,35.0,True,EUR/MWh
SE2,2026-09-21T08:30:00+02:00,2026-09-21T06:30:00+00:00,31.99,False,36.99,True,EUR/MWh
SE2,2026-09-21T08:45:00+02:00,2026-09-21T06:45:00+00:00,33.41,False,38.41,True,EUR/MWh
